Name,Label,Mass
M200,M200:309.09978,309.09978
M201,M201:309.171,309.171
M202,M202:310.06749,310.06749
M203,M203:311.08807,311.08807
M204,M204:311.15858,311.15858
M205,M205:312.04985,312.04985
M206,M206:312.05512,312.05512
M207,M207:312.09253,312.09253
M208,M208:312.10889,312.10889
M209,M209:312.94748,312.94748
M210,M210:313.03917,313.03917
M211,M211:313.09025,313.09025
M212,M212:313.09829,313.09829
M213,M213:313.13818,313.13818
M214,M214:313.56764,313.56764
M215,M215:314.56616,314.56616
M216,M216:314.97761,314.97761
M217,M217:316.23883,316.23883
M218,M218:317.00415,317.00415
M219,M219:317.05682,317.05682
M220,M220:317.10948,317.10948
M221,M221:317.14651,317.14651
M222,M222:317.24876,317.24876
M223,M223:317.25236,317.25236
M224,M224:317.98444,317.98444
M225,M225:318.01828,318.01828
M226,M226:318.06112,318.06112
M227,M227:318.16386,318.16386
M228,M228:318.1672,318.1672
M229,M229:319.09989,319.09989
M230,M230:319.1236,319.1236
M231,M231:319.23616,319.23616
M232,M232:320.07871,320.07871
M233,M233:320.23435,320.23435
M234,M234:321.02214,321.02214
M235,M235:321.11552,321.11552
M236,M236:321.13776,321.13776
M237,M237:321.25734,321.25734
M238,M238:322.0214,322.0214
M239,M239:322.07834,322.07834
M240,M240:322.95535,322.95535
M241,M241:322.97633,322.97633
M242,M242:323.2002,323.2002
M243,M243:324.11779,324.11779
M244,M244:324.98308,324.98308
M245,M245:325.03302,325.03302
M246,M246:325.09936,325.09936
M247,M247:326.16897,326.16897
M248,M248:327.1006,327.1006
M249,M249:327.11833,327.11833
M250,M250:328.03273,328.03273
M251,M251:329.07988,329.07988
M252,M252:329.08511,329.08511
M253,M253:329.15256,329.15256
M254,M254:329.18304,329.18304
M255,M255:329.24733,329.24733
M256,M256:330.08848,330.08848
M257,M257:330.16712,330.16712
M258,M258:330.1842,330.1842
M259,M259:330.20419,330.20419
M260,M260:330.20627,330.20627
M261,M261:330.20891,330.20891
M262,M262:331,331
M263,M263:331.05001,331.05001
M264,M264:331.12377,331.12377
M265,M265:331.20518,331.20518
M266,M266:331.26034,331.26034
M267,M267:332.24991,332.24991
M268,M268:333.13882,333.13882
M269,M269:334.09426,334.09426
M270,M270:334.98685,334.98685
M271,M271:335.11462,335.11462
M272,M272:335.241,335.241
M273,M273:336.24001,336.24001
M274,M274:336.9451,336.9451
M275,M275:337.22141,337.22141
M276,M276:337.33058,337.33058
M277,M277:338.13343,338.13343
M278,M278:338.2086,338.2086
M279,M279:338.22573,338.22573
M280,M280:341.08149,341.08149
M281,M281:341.19296,341.19296
M282,M282:342.95679,342.95679
M283,M283:343.19871,343.19871
M284,M284:344.23625,344.23625
M285,M285:344.9991,344.9991
M286,M286:346.16196,346.16196
M287,M287:347.11464,347.11464
M288,M288:347.20021,347.20021
M289,M289:348.0927,348.0927
M290,M290:349.07666,349.07666
M291,M291:349.13029,349.13029
M292,M292:350.04471,350.04471
M293,M293:350.27014,350.27014
M294,M294:351.25194,351.25194
M295,M295:354.10214,354.10214
M296,M296:359.0313,359.0313
M297,M297:364.213,364.213
M298,M298:366.27793,366.27793
M299,M299:367.08881,367.08881
M300,M300:367.11097,367.11097
M301,M301:367.17639,367.17639
M302,M302:367.21269,367.21269
M303,M303:368.24984,368.24984
M304,M304:368.98819,368.98819
M305,M305:369.11302,369.11302
M306,M306:369.19857,369.19857
M307,M307:369.21408,369.21408
M308,M308:370.21528,370.21528
M309,M309:370.2884,370.2884
M310,M310:371.09028,371.09028
M311,M311:371.11225,371.11225
M312,M312:371.22997,371.22997
M313,M313:371.26769,371.26769
M314,M314:371.33604,371.33604
M315,M315:372.02645,372.02645
M316,M316:372.19479,372.19479
M317,M317:372.26359,372.26359
M318,M318:373.07498,373.07498
M319,M319:373.09139,373.09139
M320,M320:373.31155,373.31155
M321,M321:373.53931,373.53931
M322,M322:374.04209,374.04209
M323,M323:374.29512,374.29512
M324,M324:374.29747,374.29747
M325,M325:374.31078,374.31078
M326,M326:374.96885,374.96885
M327,M327:375.08998,375.08998
M328,M328:375.18868,375.18868
M329,M329:375.27279,375.27279
M330,M330:375.33092,375.33092
M331,M331:376.16026,376.16026
M332,M332:376.18217,376.18217
M333,M333:376.18417,376.18417
M334,M334:376.24755,376.24755
M335,M335:376.2668,376.2668
M336,M336:376.96359,376.96359
M337,M337:376.96887,376.96887
M338,M338:377.18041,377.18041
M339,M339:378.12586,378.12586
M340,M340:379.21574,379.21574
M341,M341:380.04251,380.04251
M342,M342:380.16961,380.16961
M343,M343:380.27677,380.27677
M344,M344:380.31701,380.31701
M345,M345:380.97369,380.97369
M346,M346:380.97968,380.97968
M347,M347:381.02625,381.02625
M348,M348:381.08576,381.08576
M349,M349:381.16584,381.16584
M350,M350:381.52814,381.52814
M351,M351:382.10949,382.10949
M352,M352:382.22376,382.22376
M353,M353:382.29235,382.29235
M354,M354:383.16847,383.16847
M355,M355:384.23397,384.23397
M356,M356:385.128,385.128
M357,M357:385.14757,385.14757
M358,M358:385.17851,385.17851
M359,M359:385.18613,385.18613
M360,M360:385.30723,385.30723
M361,M361:386.04202,386.04202
M362,M362:386.1406,386.1406
M363,M363:386.16111,386.16111
M364,M364:387.03026,387.03026
M365,M365:387.15205,387.15205
M366,M366:388.03486,388.03486
M367,M367:388.08646,388.08646
M368,M368:388.12619,388.12619
M369,M369:388.17764,388.17764
M370,M370:388.28013,388.28013
M371,M371:388.29046,388.29046
M372,M372:388.29513,388.29513
M373,M373:388.30309,388.30309
M374,M374:388.71596,388.71596
M375,M375:389.04002,389.04002
M376,M376:389.05224,389.05224
M377,M377:389.0929,389.0929
M378,M378:389.16789,389.16789
M379,M379:389.2369,389.2369
M380,M380:390.22267,390.22267
M381,M381:390.26504,390.26504
M382,M382:390.2962,390.2962
M383,M383:390.31868,390.31868
M384,M384:390.97917,390.97917
M385,M385:391.00852,391.00852
M386,M386:391.29955,391.29955
M387,M387:392.0083,392.0083
M388,M388:392.04244,392.04244
M389,M389:392.09152,392.09152
M390,M390:392.23835,392.23835
M391,M391:392.31698,392.31698
M392,M392:392.51909,392.51909
M393,M393:392.99231,392.99231
M394,M394:393.02945,393.02945
M395,M395:393.23286,393.23286
M396,M396:393.29662,393.29662
M397,M397:394.05281,394.05281
M398,M398:394.05811,394.05811
M399,M399:394.09821,394.09821
M400,M400:394.13443,394.13443
M401,M401:394.26053,394.26053
M402,M402:394.26166,394.26166
M403,M403:394.99526,394.99526
M404,M404:395.15466,395.15466
M405,M405:395.17443,395.17443
M406,M406:395.2601,395.2601
M407,M407:395.33596,395.33596
M408,M408:396.01044,396.01044
M409,M409:396.02011,396.02011
M410,M410:396.15282,396.15282
M411,M411:396.16491,396.16491
M412,M412:396.16974,396.16974
M413,M413:396.18907,396.18907
M414,M414:396.22239,396.22239
M415,M415:396.33222,396.33222
M416,M416:397.17021,397.17021
M417,M417:397.18987,397.18987
M418,M418:397.2264,397.2264
M419,M419:397.23067,397.23067
M420,M420:397.27886,397.27886
M421,M421:397.31517,397.31517
M422,M422:398.16189,398.16189
M423,M423:398.24999,398.24999
M424,M424:398.35101,398.35101
M425,M425:398.94579,398.94579
M426,M426:399.00732,399.00732
M427,M427:399.02363,399.02363
M428,M428:399.16926,399.16926
M429,M429:399.26143,399.26143
M430,M430:400.02137,400.02137
M431,M431:400.16545,400.16545
M432,M432:400.28535,400.28535
M433,M433:400.33504,400.33504
M434,M434:401.20432,401.20432
M435,M435:402.15539,402.15539
M436,M436:402.16285,402.16285
M437,M437:403.05644,403.05644
M438,M438:403.07929,403.07929
M439,M439:403.30442,403.30442
M440,M440:404.0244,404.0244
M441,M441:404.08151,404.08151
M442,M442:404.97926,404.97926
M443,M443:405.07028,405.07028
M444,M444:405.22359,405.22359
M445,M445:406.08636,406.08636
M446,M446:406.20964,406.20964
M447,M447:406.29077,406.29077
M448,M448:406.986,406.986
M449,M449:407.02196,407.02196
M450,M450:407.03612,407.03612
M451,M451:408.10106,408.10106
M452,M452:408.20144,408.20144
M453,M453:408.23328,408.23328
M454,M454:408.97452,408.97452
M455,M455:410.0722,410.0722
M456,M456:410.25229,410.25229
M457,M457:410.25682,410.25682
